RXCUI	STR	VOTES	Wasz	Shankar	Andy
1190572	Atropine Sulfate/Diphenoxylate Hydrochloride 0.025 MG-2.5 MG Oral Tablet [VI-ATRO]	1			1
1190572	atropine-diphenoxylate 0.025 mg-2.5 mg oral tablet	1			1
1190572	DIPHENOXYLATE 2.5 mg / ATROPINE 0.025 mg ORAL TABLET	1			1
1190572	diphenoxylate HCl 2.5 MG / atropine sulfate 0.025 MG Oral Tablet	1			1
1190572	diphenoxylate HCl/atropine 2.5 mg-0.025 mg ORAL TABLET	1			1
1190572	diphenoxylate HCl/atropine sulfate 2.5 mg-0.025 mg ORAL TABLET	1			1
1190572	diphenoxylate HCl/atropine sulfate@2.5 mg-0.025 mg@ORAL@TABLET	1			1
1190572	DIPHENOXYLATE HYDROCHLORIDE 2.5 mg / ATROPINE SULFATE .025 mg ORAL TABLET	1			1
1190572	DIPHENOXYLATE HYDROCHLORIDE 2.5 mg / ATROPINE SULFATE .025 mg ORAL TABLET [Diphenoxylate Hydrochloride and Atropine Sulfate]	1			1
1190572	DIPHENOXYLATE HYDROCHLORIDE 2.5 mg / ATROPINE SULFATE 0.025 mg ORAL TABLET	1			1
1190572	DIPHENOXYLATE HYDROCHLORIDE 2.5 mg / ATROPINE SULFATE 0.025 mg ORAL TABLET [Diphenoxylate hydrochloride and atropine sulfate]	1			1
1190572	Diphenoxylate Hydrochloride 2.5mg, Atropine Sulfate 0.025mg Oral tablet	1			1
1190572	Product containing precisely atropine sulfate 25 microgram and diphenoxylate hydrochloride 2.5 milligram/1 each conventional release oral tablet (clinical drug)	1			1
2392234	1 ML oliceridine 1 MG/ML (as oliceridine fumarate 1.3 MG /1 ML) Injection	1			1
2392234	1 ML oliceridine 1 MG/ML Injection	1			1
2392234	oliceridine 1 MG in 1 ML Injection	1			1
2392234	oliceridine 1 MG per 1 ML Injection	1			1
2392234	OLICERIDINE 1MG/ML INJ,SOLN_#1	1			1
2392239	1 ML oliceridine 1 MG/ML Injection [Olinvyk]	1			1
2392239	1 ML Olinvyk 1 MG/ML (as oliceridine fumarate 1.3 MG /1 ML) Injection	1			1
2392239	1 ML Olinvyk 1 MG/ML Injection	1			1
2392239	OLICERIDINE 1 mg in 1 mL INTRAVENOUS INJECTION, SOLUTION [OLINVYK]	1			1
2392239	Oliceridine 1 MG/1 ML Intravenous Solution [OLINVYK]_#1	1			1
2392239	Olinvyk 1 MG in 1 ML Injection	1			1
2392239	Olinvyk 1 MG per 1 ML Injection	1			1
2392239	OLINVYK 1mg/mL Solution for Injection	1			1
2392239	Olinvyk, 1 mg/mL intravenous solution_#1	1			1
2392242	2 ML oliceridine 1 MG/ML (as oliceridine fumarate 1.3 MG / 1 ML) Injection	1			1
2392242	2 ML oliceridine 1 MG/ML Injection	1			1
2392242	OLICERIDINE 1MG/ML INJ,SOLN_#2	1			1
2392242	oliceridine 2 MG in 2 ML Injection	1			1
2392242	oliceridine 2 MG per 2 ML Injection	1			1
2392242	oliceridine fumarate 2 mg/2 mL (1 mg/mL) INTRAVEN VIAL (ML)	1			1
2392242	oliceridine fumarate@2 mg/2 mL (1 mg/mL)@INTRAVEN@VIAL (ML)	1			1
2392243	2 ML oliceridine 1 MG/ML Injection [Olinvyk]	1			1
2392243	2 ML Olinvyk 1 MG/ML (as oliceridine fumarate 1.3 MG /1 ML) Injection	1			1
2392243	2 ML Olinvyk 1 MG/ML Injection	1			1
2392243	Oliceridine 1 MG/1 ML Intravenous Solution [OLINVYK]_#2	1			1
2392243	OLICERIDINE 2 mg in 2 mL INTRAVENOUS INJECTION, SOLUTION [OLINVYK]	1			1
2392243	Olinvyk 2 MG in 2 ML Injection	1			1
2392243	Olinvyk 2 MG per 2 ML Injection	1			1
2392243	Olinvyk 2mg/2mL Solution for Injection	1			1
2392243	Olinvyk, 1 mg/mL intravenous solution_#2	1			1
2392244	30 ML oliceridine 1 MG/ML (as oliceridine fumarate 1.3 MG / 1 ML) Injection	1			1
2392244	30 ML oliceridine 1 MG/ML Injection	1			1
2392244	OLICERIDINE 1MG/ML INJ,SOLN,PCA,30ML	1			1
2392244	OLICERIDINE 1MG/ML SOLN INJ PCA 30ML	1			1
2392244	oliceridine 30 MG in 30 ML (For PCA Use Only) Injection	1			1
2392244	oliceridine 30 MG per 30 ML (For PCA Use Only) Injection	1			1
2392244	oliceridine fumarate 30 mg/30 mL (1 mg/mL) INTRAVEN PATIENT CONTROLLED ANALGESIA VIAL	1			1
2392244	oliceridine fumarate@30 mg/30 mL (1 mg/mL)@INTRAVEN@PATIENT CONTROLLED ANALGESIA VIAL	1			1
2392245	30 ML oliceridine 1 MG/ML Injection [Olinvyk]	1			1
2392245	30 ML Olinvyk 1 MG/ML (as oliceridine fumarate 1.3 MG / 1 ML) Injection	1			1
2392245	30 ML Olinvyk 1 MG/ML Injection	0			
2392245	Oliceridine 1 MG/1 ML Intravenous Solution [OLINVYK]_#3	1			1
2392245	OLICERIDINE 30 mg in 30 mL INTRAVENOUS INJECTION, SOLUTION [OLINVYK]	1			1
2392245	Olinvyk 30 MG in 30 ML (For PCA Use Only) Injection	1			1
2392245	Olinvyk 30 MG per 30 ML (For PCA Use Only) Injection	1			1
2392245	Olinvyk 30mg/30mL Solution for Injection	1			1
2392245	Olinvyk, 1 mg/mL intravenous solution_#3	1			1
250879	dextromoramide 5 MG Oral Tablet	0			
250879	Product containing precisely dextromoramide 5 milligram/1 each conventional release oral tablet (clinical drug)	0			
250880	dextromoramide 10 MG Oral Tablet	0			
250880	Product containing precisely dextromoramide 10 milligram/1 each conventional release oral tablet (clinical drug)	0			
251210	Meptazinol (as meptazinol hydrochloride) 100 mg/mL solution for injection	1			1
251210	meptazinol 100 MG/ML Injectable Solution	1			1
251210	Product containing precisely meptazinol (as meptazinol hydrochloride) 100 milligram/1 milliliter conventional release solution for injection (clinical drug)	1			1
