RXCUI	STR	VOTES	Wasz	Shankar	Andy
1049580	OXYCODONE HCL 5MG/ACETAMINOPHEN 325MG/5ML SOLN,ORAL	1	1		
1049580	oxycodone HCl/acetaminophen 5 mg-325 mg/5 mL ORAL SOLUTION, ORAL	1	1		
1049580	oxycodone HCl/acetaminophen@5 mg-325 mg/5 mL@ORAL@SOLUTION, ORAL	1	1		
1049580	OXYCODONE HYDROCHLORIDE 5 mg in 5 mL / ACETAMINOPHEN 325 mg in 5 mL ORAL SOLUTION	1	1		
1049580	OXYCODONE HYDROCHLORIDE 5 mg in 5 mL / ACETAMINOPHEN 325 mg in 5 mL ORAL SOLUTION [OXYCODONE AND ACETAMINOPHEN]	1	1		
1049580	Oxycodone Hydrochloride 5mg/5mL, Acetaminophen 325mg/5mL Oral solution	1	1		
1049589	ibuprofen 400 MG / oxycodone hydrochloride 5 MG Oral Tablet	1	1		
1049589	Ibuprofen 400 mg and oxycodone 5 mg oral tablet	1	1		
1049589	ibuprofen-oxycodone 400 mg-5 mg oral tablet	1	1		
1049589	Ibuprofen-Oxycodone Hydrochloride, 400 mg-5 mg oral tablet	1	1		
1049589	ibuprofen/oxycodone HCl 400 mg-5 mg ORAL TABLET	1	1		
1049589	ibuprofen/oxycodone HCl@400 mg-5 mg@ORAL@TABLET	1	1		
1049589	Ibuprofen/Oxycodone Hydrochloride 400 MG-5 MG Oral Tablet	1	1		
1049589	Ibuprofen/Oxycodone Hydrochloride 400 MG-5 MG Oral Tablet [OXYCODONE HCL-IBUPROFEN]	1	1		
1049589	oxyCODONE HCl 5 MG / ibuprofen 400 MG Oral Tablet	1	1		
1049589	OXYCODONE HCL 5MG/IBUPROFEN 400MG TAB	1	1		
1049589	Oxycodone Hydrochloride 5mg, Ibuprofen 400mg Oral tablet	1	1		
1049589	Product containing precisely ibuprofen 400 milligram and oxycodone 5 milligram/1 each conventional release oral tablet (clinical drug)	1	1		
1049625	acetaminophen 325 MG / oxycodone hydrochloride 10 MG Oral Tablet [Percocet]	1	1		
1049625	Acetaminophen/Oxycodone Hydrochloride 325 MG-10 MG Oral Tablet [PERCOCET]	1	1		
1049625	APAP 325 MG / Oxycodone Hydrochloride 10 MG Oral Tablet [Percocet]	1	1		
1049625	OXYCODONE HYDROCHLORIDE 10 mg / ACETAMINOPHEN 325 mg ORAL TABLET [PERCOCET]	1	1		
1049625	Percocet 10 MG / 325 MG Oral Tablet	1	1		
1049625	Percocet 10/325 (oxycodone hydrochloride 10 MG / APAP 325 MG) Oral Tablet	1	1		
1049625	Percocet 10/325 Oral Tablet	1	1		
1049625	Percocet 10/325, 325 mg-10 mg oral tablet	1	1		
1049625	Percocet 10mg-325mg Tablet	1	1		
1049625	Percocet, 325 mg-10 mg oral tablet	1	1		
1049635	acetaminophen 325 MG / oxycodone hydrochloride 2.5 MG Oral Tablet	1	1		
1049635	Acetaminophen 325 mg and oxycodone hydrochloride 2.5 mg oral tablet	1	1		
1049635	acetaminophen-oxycodone 325 mg-2.5 mg oral tablet	1	1		
1049635	Acetaminophen-Oxycodone Hydrochloride, 325 mg-2.5 mg oral tablet	1	1		
1049635	Acetaminophen/Oxycodone Hydrochloride 325 MG-2.5 MG Oral Tablet	1	1		
1049635	APAP 325 MG / Oxycodone Hydrochloride 2.5 MG Oral Tablet	1	1		
1049635	OXYCODONE 2.5 mg / ACETAMINOPHEN 325 mg ORAL TABLET	1	1		
1049635	OXYCODONE 2.5MG/ACETAMINOPHEN 325MG TAB	1	1		
1049635	oxyCODONE HCl 2.5 MG / acetaminophen 325 MG Oral Tablet	1	1		
1049635	OXYCODONE HCL 2.5MG/ACETAMINOPHEN 325MG TAB	1	1		
1049635	oxycodone HCl/acetaminophen 2.5 mg-325 mg ORAL TABLET	1	1		
1049635	oxycodone HCl/acetaminophen@2.5 mg-325 mg@ORAL@TABLET	1	1		
1049635	OXYCODONE HYDROCHLORIDE 2.5 mg / ACETAMINOPHEN 325 mg ORAL TABLET	1	1		
1049635	Oxycodone hydrochloride 2.5 mg and paracetamol 325 mg oral tablet	1	1		
1049635	Oxycodone Hydrochloride 2.5mg, Acetaminophen 325mg Oral tablet	1	1		
1049635	Product containing precisely oxycodone hydrochloride 2.5 milligram and paracetamol 325 milligram/1 each conventional release oral tablet (clinical drug)	1	1		
1049637	acetaminophen 325 MG / oxycodone hydrochloride 2.5 MG Oral Tablet [Percocet]	1	1		
1049637	Acetaminophen/Oxycodone Hydrochloride 325 MG-2.5 MG Oral Tablet [PERCOCET]	1	1		
1049637	APAP 325 MG / Oxycodone Hydrochloride 2.5 MG Oral Tablet [Percocet]	1	1		
1049637	OXYCODONE HYDROCHLORIDE 2.5 mg / ACETAMINOPHEN 325 mg ORAL TABLET [PERCOCET]	1	1		
1049637	Percocet 2.5 MG / 325 MG Oral Tablet	2	1		1
1049637	Percocet 2.5/325 (oxycodone hydrochloride 2.5 MG / APAP 325 MG) Oral Tablet	2	1		1
1049637	Percocet 2.5/325 Oral Tablet	2	1		1
1049637	Percocet 2.5/325, 325 mg-2.5 mg oral tablet	2	1		1
1049637	Percocet 2.5mg-325mg Tablet	2	1		1
1049637	Percocet, 325 mg-2.5 mg oral tablet	2	1		1
1049640	acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Tablet [Percocet]	2	1		1
1049640	Acetaminophen/Oxycodone Hydrochloride 325 MG-5 MG Oral Tablet [PERCOCET]	2	1		1
1049640	APAP 325 MG / Oxycodone Hydrochloride 5 MG Oral Tablet [Percocet]	2	1		1
1049640	OXYCODONE HYDROCHLORIDE 5 mg / ACETAMINOPHEN 325 mg ORAL TABLET [PERCOCET]	2	1		1
1049640	Percocet 5 MG / 325 MG Oral Tablet	2	1		1
1049640	Percocet 5/325 (oxycodone hydrochloride / APAP) Oral Tablet	2	1		1
1049640	Percocet 5/325 Oral Tablet	2	1		1
1049640	Percocet 5/325, 325 mg-5 mg oral tablet	2	1		1
1049640	Percocet 5mg-325mg Tablet	2	1		1
1049640	Percocet, 325 mg-5 mg oral tablet	2	1		1
1049642	acetaminophen 325 MG / oxycodone hydrochloride 7.5 MG Oral Tablet [Percocet]	2	1		1
1049642	Acetaminophen/Oxycodone Hydrochloride 325 MG-7.5 MG Oral Tablet [PERCOCET]	2	1		1
1049642	APAP 325 MG / Oxycodone Hydrochloride 7.5 MG Oral Tablet [Percocet]	2	1		1
