RXCUI	STR
151875	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
214614	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
217632	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
217633	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
217646	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
220542	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
221107	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
235428	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
236931	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
27084	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
27085	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
314667	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
5489	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
597355	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
992657	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
992668	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
992671	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
992675	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
992679	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
992682	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
992730	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
142439	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
151875	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
214614	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
221107	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
235428	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
236931	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
27084	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
27085	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
314667	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
5489	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
597355	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
992668	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
992675	hydrocodone-homatropine 5 mg-1.5 mg/5 mL oral syrup
1360002	HYDROmorphone 1 mg/mL injection syringe
153352	HYDROmorphone 1 mg/mL injection syringe
1724383	HYDROmorphone 1 mg/mL injection syringe
1872265	HYDROmorphone 1 mg/mL injection syringe
1872266	HYDROmorphone 1 mg/mL injection syringe
203177	HYDROmorphone 1 mg/mL injection syringe
224913	HYDROmorphone 1 mg/mL injection syringe
225549	HYDROmorphone 1 mg/mL injection syringe
3423	HYDROmorphone 1 mg/mL injection syringe
492013	HYDROmorphone 1 mg/mL injection syringe
897756	HYDROmorphone 1 mg/mL injection syringe
902730	HYDROmorphone 1 mg/mL injection syringe
1359758	HYDROmorphone 2 mg/mL injection syringe
153352	HYDROmorphone 2 mg/mL injection syringe
1724644	HYDROmorphone 2 mg/mL injection syringe
1872269	HYDROmorphone 2 mg/mL injection syringe
1872270	HYDROmorphone 2 mg/mL injection syringe
203177	HYDROmorphone 2 mg/mL injection syringe
224913	HYDROmorphone 2 mg/mL injection syringe
225549	HYDROmorphone 2 mg/mL injection syringe
3423	HYDROmorphone 2 mg/mL injection syringe
492013	HYDROmorphone 2 mg/mL injection syringe
897745	HYDROmorphone 2 mg/mL injection syringe
897747	HYDROmorphone 2 mg/mL injection syringe
897757	HYDROmorphone 2 mg/mL injection syringe
902730	HYDROmorphone 2 mg/mL injection syringe
153352	HYDROmorphone 4 mg/mL injection syringe
1872271	HYDROmorphone 4 mg/mL injection syringe
1872272	HYDROmorphone 4 mg/mL injection syringe
203177	HYDROmorphone 4 mg/mL injection syringe
224913	HYDROmorphone 4 mg/mL injection syringe
225549	HYDROmorphone 4 mg/mL injection syringe
3423	HYDROmorphone 4 mg/mL injection syringe
492013	HYDROmorphone 4 mg/mL injection syringe
897753	HYDROmorphone 4 mg/mL injection syringe
897755	HYDROmorphone 4 mg/mL injection syringe
897758	HYDROmorphone 4 mg/mL injection syringe
902730	HYDROmorphone 4 mg/mL injection syringe
153352	HYDROmorphone 2 mg tablet
203177	HYDROmorphone 2 mg tablet
224913	HYDROmorphone 2 mg tablet
225549	HYDROmorphone 2 mg tablet
3423	HYDROmorphone 2 mg tablet
492013	HYDROmorphone 2 mg tablet
897696	HYDROmorphone 2 mg tablet
897698	HYDROmorphone 2 mg tablet
897717	HYDROmorphone 2 mg tablet
902730	HYDROmorphone 2 mg tablet
153352	HYDROmorphone 4 mg tablet
203177	HYDROmorphone 4 mg tablet
224913	HYDROmorphone 4 mg tablet
225549	HYDROmorphone 4 mg tablet
3423	HYDROmorphone 4 mg tablet
492013	HYDROmorphone 4 mg tablet
897702	HYDROmorphone 4 mg tablet
897704	HYDROmorphone 4 mg tablet
897725	HYDROmorphone 4 mg tablet
902730	HYDROmorphone 4 mg tablet
153973	levorphanol tartrate 2 mg tablet
197873	levorphanol tartrate 2 mg tablet
206429	levorphanol tartrate 2 mg tablet
258342	levorphanol tartrate 2 mg tablet
353623	levorphanol tartrate 2 mg tablet
6378	levorphanol tartrate 2 mg tablet
103755	meperidine 100 mg/mL injection solution
155922	meperidine 100 mg/mL injection solution
1665688	meperidine 100 mg/mL injection solution
1665689	meperidine 100 mg/mL injection solution
282381	meperidine 100 mg/mL injection solution
6754	meperidine 100 mg/mL injection solution
861459	meperidine 100 mg/mL injection solution
861520	meperidine 100 mg/mL injection solution
102659	meperidine 50 mg/mL injection solution
103755	meperidine 50 mg/mL injection solution
155922	meperidine 50 mg/mL injection solution
1665692	meperidine 50 mg/mL injection solution
1665693	meperidine 50 mg/mL injection solution
282381	meperidine 50 mg/mL injection solution
6754	meperidine 50 mg/mL injection solution
861463	meperidine 50 mg/mL injection solution
861522	meperidine 50 mg/mL injection solution
103755	meperidine 50 mg tablet
155922	meperidine 50 mg tablet
282381	meperidine 50 mg tablet
6754	meperidine 50 mg tablet
861467	meperidine 50 mg tablet
861525	meperidine 50 mg tablet
152751	methadone 10 mg/5 mL oral solution
153327	methadone 10 mg/5 mL oral solution
197113	methadone 10 mg/5 mL oral solution
202370	methadone 10 mg/5 mL oral solution
218337	methadone 10 mg/5 mL oral solution
226003	methadone 10 mg/5 mL oral solution
670009	methadone 10 mg/5 mL oral solution
6813	methadone 10 mg/5 mL oral solution
864769	methadone 10 mg/5 mL oral solution
151094	methadone 5 mg/5 mL oral solution
152751	methadone 5 mg/5 mL oral solution
153325	methadone 5 mg/5 mL oral solution
153327	methadone 5 mg/5 mL oral solution
197113	methadone 5 mg/5 mL oral solution
202370	methadone 5 mg/5 mL oral solution
218337	methadone 5 mg/5 mL oral solution
226003	methadone 5 mg/5 mL oral solution
670009	methadone 5 mg/5 mL oral solution
6813	methadone 5 mg/5 mL oral solution
864761	methadone 5 mg/5 mL oral solution
152751	methadone 10 mg tablet
153327	methadone 10 mg tablet
197113	methadone 10 mg tablet
202370	methadone 10 mg tablet
218337	methadone 10 mg tablet
226003	methadone 10 mg tablet
670009	methadone 10 mg tablet
6813	methadone 10 mg tablet
864706	methadone 10 mg tablet
864708	methadone 10 mg tablet
864712	methadone 10 mg tablet
141950	methadone 5 mg tablet
152751	methadone 5 mg tablet
153327	methadone 5 mg tablet
197113	methadone 5 mg tablet
202370	methadone 5 mg tablet
218337	methadone 5 mg tablet
226003	methadone 5 mg tablet
670009	methadone 5 mg tablet
6813	methadone 5 mg tablet
864718	methadone 5 mg tablet
864720	methadone 5 mg tablet
864737	methadone 5 mg tablet
152751	methadone 10 mg/mL oral concentrate
218337	methadone 10 mg/mL oral concentrate
6813	methadone 10 mg/mL oral concentrate
991147	methadone 10 mg/mL oral concentrate
991149	methadone 10 mg/mL oral concentrate
151999	morphine 2 mg/mL injection syringe
152164	morphine 2 mg/mL injection syringe
152356	morphine 2 mg/mL injection syringe
152785	morphine 2 mg/mL injection syringe
152996	morphine 2 mg/mL injection syringe
153664	morphine 2 mg/mL injection syringe
1745876	morphine 2 mg/mL injection syringe
1871435	morphine 2 mg/mL injection syringe
203240	morphine 2 mg/mL injection syringe
203353	morphine 2 mg/mL injection syringe
203354	morphine 2 mg/mL injection syringe
203355	morphine 2 mg/mL injection syringe
203356	morphine 2 mg/mL injection syringe
203357	morphine 2 mg/mL injection syringe
203358	morphine 2 mg/mL injection syringe
2055303	morphine 2 mg/mL injection syringe
219576	morphine 2 mg/mL injection syringe
219632	morphine 2 mg/mL injection syringe
225993	morphine 2 mg/mL injection syringe
235751	morphine 2 mg/mL injection syringe
235774	morphine 2 mg/mL injection syringe
30236	morphine 2 mg/mL injection syringe
352452	morphine 2 mg/mL injection syringe
353616	morphine 2 mg/mL injection syringe
477397	morphine 2 mg/mL injection syringe
477468	morphine 2 mg/mL injection syringe
583440	morphine 2 mg/mL injection syringe
7052	morphine 2 mg/mL injection syringe
885779	morphine 2 mg/mL injection syringe
895200	morphine 2 mg/mL injection syringe
998212	morphine 2 mg/mL injection syringe
151999	morphine 4 mg/mL injection syringe
152164	morphine 4 mg/mL injection syringe
152356	morphine 4 mg/mL injection syringe
152785	morphine 4 mg/mL injection syringe
152996	morphine 4 mg/mL injection syringe
153664	morphine 4 mg/mL injection syringe
1745876	morphine 4 mg/mL injection syringe
1871435	morphine 4 mg/mL injection syringe
203240	morphine 4 mg/mL injection syringe
203353	morphine 4 mg/mL injection syringe
203354	morphine 4 mg/mL injection syringe
203355	morphine 4 mg/mL injection syringe
203356	morphine 4 mg/mL injection syringe
203357	morphine 4 mg/mL injection syringe
203358	morphine 4 mg/mL injection syringe
2055303	morphine 4 mg/mL injection syringe
219576	morphine 4 mg/mL injection syringe
219632	morphine 4 mg/mL injection syringe
225993	morphine 4 mg/mL injection syringe
235751	morphine 4 mg/mL injection syringe
235774	morphine 4 mg/mL injection syringe
30236	morphine 4 mg/mL injection syringe
352452	morphine 4 mg/mL injection syringe
353616	morphine 4 mg/mL injection syringe
477397	morphine 4 mg/mL injection syringe
477468	morphine 4 mg/mL injection syringe
583440	morphine 4 mg/mL injection syringe
7052	morphine 4 mg/mL injection syringe
885779	morphine 4 mg/mL injection syringe
895216	morphine 4 mg/mL injection syringe
998213	morphine 4 mg/mL injection syringe
151999	morphine 8 mg/mL injection syringe
152164	morphine 8 mg/mL injection syringe
152356	morphine 8 mg/mL injection syringe
152785	morphine 8 mg/mL injection syringe
152996	morphine 8 mg/mL injection syringe
153664	morphine 8 mg/mL injection syringe
1745876	morphine 8 mg/mL injection syringe
1871435	morphine 8 mg/mL injection syringe
203240	morphine 8 mg/mL injection syringe
203353	morphine 8 mg/mL injection syringe
203354	morphine 8 mg/mL injection syringe
203355	morphine 8 mg/mL injection syringe
203356	morphine 8 mg/mL injection syringe
203357	morphine 8 mg/mL injection syringe
203358	morphine 8 mg/mL injection syringe
2055303	morphine 8 mg/mL injection syringe
219576	morphine 8 mg/mL injection syringe
219632	morphine 8 mg/mL injection syringe
225993	morphine 8 mg/mL injection syringe
235751	morphine 8 mg/mL injection syringe
235774	morphine 8 mg/mL injection syringe
30236	morphine 8 mg/mL injection syringe
352452	morphine 8 mg/mL injection syringe
353616	morphine 8 mg/mL injection syringe
477397	morphine 8 mg/mL injection syringe
477468	morphine 8 mg/mL injection syringe
583440	morphine 8 mg/mL injection syringe
7052	morphine 8 mg/mL injection syringe
885779	morphine 8 mg/mL injection syringe
894914	morphine 8 mg/mL injection syringe
895249	morphine 8 mg/mL injection syringe
151999	morphine 10 mg/5 mL oral solution
152164	morphine 10 mg/5 mL oral solution
152356	morphine 10 mg/5 mL oral solution
152785	morphine 10 mg/5 mL oral solution
152996	morphine 10 mg/5 mL oral solution
153664	morphine 10 mg/5 mL oral solution
1745876	morphine 10 mg/5 mL oral solution
1871435	morphine 10 mg/5 mL oral solution
203240	morphine 10 mg/5 mL oral solution
203353	morphine 10 mg/5 mL oral solution
203354	morphine 10 mg/5 mL oral solution
203355	morphine 10 mg/5 mL oral solution
203356	morphine 10 mg/5 mL oral solution
203357	morphine 10 mg/5 mL oral solution
203358	morphine 10 mg/5 mL oral solution
2055303	morphine 10 mg/5 mL oral solution
219576	morphine 10 mg/5 mL oral solution
219632	morphine 10 mg/5 mL oral solution
225993	morphine 10 mg/5 mL oral solution
235751	morphine 10 mg/5 mL oral solution
235774	morphine 10 mg/5 mL oral solution
30236	morphine 10 mg/5 mL oral solution
352452	morphine 10 mg/5 mL oral solution
353616	morphine 10 mg/5 mL oral solution
477397	morphine 10 mg/5 mL oral solution
477468	morphine 10 mg/5 mL oral solution
583440	morphine 10 mg/5 mL oral solution
7052	morphine 10 mg/5 mL oral solution
885779	morphine 10 mg/5 mL oral solution
892589	morphine 10 mg/5 mL oral solution
892591	morphine 10 mg/5 mL oral solution
151999	morphine 20 mg/5 mL (4 mg/mL) oral solution
152164	morphine 20 mg/5 mL (4 mg/mL) oral solution
152356	morphine 20 mg/5 mL (4 mg/mL) oral solution
152785	morphine 20 mg/5 mL (4 mg/mL) oral solution
152996	morphine 20 mg/5 mL (4 mg/mL) oral solution
153664	morphine 20 mg/5 mL (4 mg/mL) oral solution
1745876	morphine 20 mg/5 mL (4 mg/mL) oral solution
1871435	morphine 20 mg/5 mL (4 mg/mL) oral solution
203240	morphine 20 mg/5 mL (4 mg/mL) oral solution
203353	morphine 20 mg/5 mL (4 mg/mL) oral solution
203354	morphine 20 mg/5 mL (4 mg/mL) oral solution
203355	morphine 20 mg/5 mL (4 mg/mL) oral solution
203356	morphine 20 mg/5 mL (4 mg/mL) oral solution
203357	morphine 20 mg/5 mL (4 mg/mL) oral solution
203358	morphine 20 mg/5 mL (4 mg/mL) oral solution
2055303	morphine 20 mg/5 mL (4 mg/mL) oral solution
219576	morphine 20 mg/5 mL (4 mg/mL) oral solution
219632	morphine 20 mg/5 mL (4 mg/mL) oral solution
225993	morphine 20 mg/5 mL (4 mg/mL) oral solution
235751	morphine 20 mg/5 mL (4 mg/mL) oral solution
235774	morphine 20 mg/5 mL (4 mg/mL) oral solution
30236	morphine 20 mg/5 mL (4 mg/mL) oral solution
352452	morphine 20 mg/5 mL (4 mg/mL) oral solution
353616	morphine 20 mg/5 mL (4 mg/mL) oral solution
477397	morphine 20 mg/5 mL (4 mg/mL) oral solution
477468	morphine 20 mg/5 mL (4 mg/mL) oral solution
583440	morphine 20 mg/5 mL (4 mg/mL) oral solution
7052	morphine 20 mg/5 mL (4 mg/mL) oral solution
885779	morphine 20 mg/5 mL (4 mg/mL) oral solution
894780	morphine 20 mg/5 mL (4 mg/mL) oral solution
894782	morphine 20 mg/5 mL (4 mg/mL) oral solution
894788	morphine 20 mg/5 mL (4 mg/mL) oral solution
894790	morphine 20 mg/5 mL (4 mg/mL) oral solution
151999	morphine 15 mg immediate release tablet
152164	morphine 15 mg immediate release tablet
152356	morphine 15 mg immediate release tablet
152785	morphine 15 mg immediate release tablet
152996	morphine 15 mg immediate release tablet
153664	morphine 15 mg immediate release tablet
1745876	morphine 15 mg immediate release tablet
1871435	morphine 15 mg immediate release tablet
203240	morphine 15 mg immediate release tablet
203353	morphine 15 mg immediate release tablet
203354	morphine 15 mg immediate release tablet
203355	morphine 15 mg immediate release tablet
203356	morphine 15 mg immediate release tablet
203357	morphine 15 mg immediate release tablet
203358	morphine 15 mg immediate release tablet
2055303	morphine 15 mg immediate release tablet
219576	morphine 15 mg immediate release tablet
219632	morphine 15 mg immediate release tablet
225993	morphine 15 mg immediate release tablet
235751	morphine 15 mg immediate release tablet
235774	morphine 15 mg immediate release tablet
30236	morphine 15 mg immediate release tablet
352452	morphine 15 mg immediate release tablet
353616	morphine 15 mg immediate release tablet
477397	morphine 15 mg immediate release tablet
477468	morphine 15 mg immediate release tablet
583440	morphine 15 mg immediate release tablet
7052	morphine 15 mg immediate release tablet
885779	morphine 15 mg immediate release tablet
892582	morphine 15 mg immediate release tablet
892583	morphine 15 mg immediate release tablet
151999	morphine 30 mg immediate release tablet
152164	morphine 30 mg immediate release tablet
152356	morphine 30 mg immediate release tablet
152785	morphine 30 mg immediate release tablet
152996	morphine 30 mg immediate release tablet
153664	morphine 30 mg immediate release tablet
1745876	morphine 30 mg immediate release tablet
1871435	morphine 30 mg immediate release tablet
203240	morphine 30 mg immediate release tablet
203353	morphine 30 mg immediate release tablet
203354	morphine 30 mg immediate release tablet
203355	morphine 30 mg immediate release tablet
203356	morphine 30 mg immediate release tablet
203357	morphine 30 mg immediate release tablet
203358	morphine 30 mg immediate release tablet
2055303	morphine 30 mg immediate release tablet
219576	morphine 30 mg immediate release tablet
219632	morphine 30 mg immediate release tablet
225993	morphine 30 mg immediate release tablet
235751	morphine 30 mg immediate release tablet
235774	morphine 30 mg immediate release tablet
30236	morphine 30 mg immediate release tablet
352452	morphine 30 mg immediate release tablet
353616	morphine 30 mg immediate release tablet
477397	morphine 30 mg immediate release tablet
477468	morphine 30 mg immediate release tablet
583440	morphine 30 mg immediate release tablet
7052	morphine 30 mg immediate release tablet
885779	morphine 30 mg immediate release tablet
892672	morphine 30 mg immediate release tablet
892673	morphine 30 mg immediate release tablet
154985	nalbuphine 10 mg/mL injection solution
1866543	nalbuphine 10 mg/mL injection solution
7238	nalbuphine 10 mg/mL injection solution
7550	nalbuphine 10 mg/mL injection solution
904415	nalbuphine 10 mg/mL injection solution
904417	nalbuphine 10 mg/mL injection solution
154985	nalbuphine 20 mg/mL injection solution
1866551	nalbuphine 20 mg/mL injection solution
7238	nalbuphine 20 mg/mL injection solution
7550	nalbuphine 20 mg/mL injection solution
904440	nalbuphine 20 mg/mL injection solution
904442	nalbuphine 20 mg/mL injection solution
1010598	naloxone 0.4 mg/mL injection solution
1191222	naloxone 0.4 mg/mL injection solution
1191224	naloxone 0.4 mg/mL injection solution
1495294	naloxone 0.4 mg/mL injection solution
1659929	naloxone 0.4 mg/mL injection solution
1659930	naloxone 0.4 mg/mL injection solution
197117	naloxone 0.4 mg/mL injection solution
203192	naloxone 0.4 mg/mL injection solution
2540704	naloxone 0.4 mg/mL injection solution
2589614	naloxone 0.4 mg/mL injection solution
7242	naloxone 0.4 mg/mL injection solution
1010598	naloxone 1 mg/mL injection syringe
1191250	naloxone 1 mg/mL injection syringe
1495294	naloxone 1 mg/mL injection syringe
197117	naloxone 1 mg/mL injection syringe
203192	naloxone 1 mg/mL injection syringe
2540704	naloxone 1 mg/mL injection syringe
2589614	naloxone 1 mg/mL injection syringe
7242	naloxone 1 mg/mL injection syringe
1014602	oxyCODONE-acetaminophen 5 mg-325 mg tablet
1049194	oxyCODONE-acetaminophen 5 mg-325 mg tablet
1049203	oxyCODONE-acetaminophen 5 mg-325 mg tablet
1049208	oxyCODONE-acetaminophen 5 mg-325 mg tablet
1049221	oxyCODONE-acetaminophen 5 mg-325 mg tablet
1049223	oxyCODONE-acetaminophen 5 mg-325 mg tablet
1049640	oxyCODONE-acetaminophen 5 mg-325 mg tablet
1050490	oxyCODONE-acetaminophen 5 mg-325 mg tablet
1372683	oxyCODONE-acetaminophen 5 mg-325 mg tablet
1372701	oxyCODONE-acetaminophen 5 mg-325 mg tablet
1491784	oxyCODONE-acetaminophen 5 mg-325 mg tablet
1537111	oxyCODONE-acetaminophen 5 mg-325 mg tablet
159821	oxyCODONE-acetaminophen 5 mg-325 mg tablet
161	oxyCODONE-acetaminophen 5 mg-325 mg tablet
197105	oxyCODONE-acetaminophen 5 mg-325 mg tablet
2045495	oxyCODONE-acetaminophen 5 mg-325 mg tablet
214183	oxyCODONE-acetaminophen 5 mg-325 mg tablet
216903	oxyCODONE-acetaminophen 5 mg-325 mg tablet
219739	oxyCODONE-acetaminophen 5 mg-325 mg tablet
219741	oxyCODONE-acetaminophen 5 mg-325 mg tablet
2279505	oxyCODONE-acetaminophen 5 mg-325 mg tablet
42844	oxyCODONE-acetaminophen 5 mg-325 mg tablet
539772	oxyCODONE-acetaminophen 5 mg-325 mg tablet
644995	oxyCODONE-acetaminophen 5 mg-325 mg tablet
647097	oxyCODONE-acetaminophen 5 mg-325 mg tablet
692748	oxyCODONE-acetaminophen 5 mg-325 mg tablet
7804	oxyCODONE-acetaminophen 5 mg-325 mg tablet
82063	oxyCODONE-acetaminophen 5 mg-325 mg tablet
832700	oxyCODONE-acetaminophen 5 mg-325 mg tablet
1049221	oxyCODONE-acetaminophen 5 mg-325 mg tablet
1049640	oxyCODONE-acetaminophen 5 mg-325 mg tablet
159821	oxyCODONE-acetaminophen 5 mg-325 mg tablet
161	oxyCODONE-acetaminophen 5 mg-325 mg tablet
214183	oxyCODONE-acetaminophen 5 mg-325 mg tablet
352884	oxyCODONE-acetaminophen 5 mg-325 mg tablet
42844	oxyCODONE-acetaminophen 5 mg-325 mg tablet
7804	oxyCODONE-acetaminophen 5 mg-325 mg tablet
82063	oxyCODONE-acetaminophen 5 mg-325 mg tablet
825197	oxyCODONE-acetaminophen 5 mg-325 mg tablet
825201	oxyCODONE-acetaminophen 5 mg-325 mg tablet
825206	oxyCODONE-acetaminophen 5 mg-325 mg tablet
825212	oxyCODONE-acetaminophen 5 mg-325 mg tablet
825216	oxyCODONE-acetaminophen 5 mg-325 mg tablet
1115966	promethazine 6.25 mg-codeine 10 mg/5 mL syrup
142445	promethazine 6.25 mg-codeine 10 mg/5 mL syrup
1545976	promethazine 6.25 mg-codeine 10 mg/5 mL syrup
1652891	promethazine 6.25 mg-codeine 10 mg/5 mL syrup
214444	promethazine 6.25 mg-codeine 10 mg/5 mL syrup
235412	promethazine 6.25 mg-codeine 10 mg/5 mL syrup
236131	promethazine 6.25 mg-codeine 10 mg/5 mL syrup
236236	promethazine 6.25 mg-codeine 10 mg/5 mL syrup
236815	promethazine 6.25 mg-codeine 10 mg/5 mL syrup
2670	promethazine 6.25 mg-codeine 10 mg/5 mL syrup
2672	promethazine 6.25 mg-codeine 10 mg/5 mL syrup
402563	promethazine 6.25 mg-codeine 10 mg/5 mL syrup
485608	promethazine 6.25 mg-codeine 10 mg/5 mL syrup
688896	promethazine 6.25 mg-codeine 10 mg/5 mL syrup
8745	promethazine 6.25 mg-codeine 10 mg/5 mL syrup
91104	promethazine 6.25 mg-codeine 10 mg/5 mL syrup
93766	promethazine 6.25 mg-codeine 10 mg/5 mL syrup
991486	promethazine 6.25 mg-codeine 10 mg/5 mL syrup
991488	promethazine 6.25 mg-codeine 10 mg/5 mL syrup
991502	promethazine 6.25 mg-codeine 10 mg/5 mL syrup
1115966	acetaminophen 300 mg-codeine 15 mg tablet
1545976	acetaminophen 300 mg-codeine 15 mg tablet
161	acetaminophen 300 mg-codeine 15 mg tablet
1652891	acetaminophen 300 mg-codeine 15 mg tablet
216834	acetaminophen 300 mg-codeine 15 mg tablet
218221	acetaminophen 300 mg-codeine 15 mg tablet
219198	acetaminophen 300 mg-codeine 15 mg tablet
220586	acetaminophen 300 mg-codeine 15 mg tablet
235412	acetaminophen 300 mg-codeine 15 mg tablet
236131	acetaminophen 300 mg-codeine 15 mg tablet
236236	acetaminophen 300 mg-codeine 15 mg tablet
261685	acetaminophen 300 mg-codeine 15 mg tablet
2670	acetaminophen 300 mg-codeine 15 mg tablet
2672	acetaminophen 300 mg-codeine 15 mg tablet
402563	acetaminophen 300 mg-codeine 15 mg tablet
540435	acetaminophen 300 mg-codeine 15 mg tablet
540518	acetaminophen 300 mg-codeine 15 mg tablet
702747	acetaminophen 300 mg-codeine 15 mg tablet
817579	acetaminophen 300 mg-codeine 15 mg tablet
851961	acetaminophen 300 mg-codeine 15 mg tablet
852033	acetaminophen 300 mg-codeine 15 mg tablet
852042	acetaminophen 300 mg-codeine 15 mg tablet
852050	acetaminophen 300 mg-codeine 15 mg tablet
91104	acetaminophen 300 mg-codeine 15 mg tablet
993764	acetaminophen 300 mg-codeine 15 mg tablet
993770	acetaminophen 300 mg-codeine 15 mg tablet
993772	acetaminophen 300 mg-codeine 15 mg tablet
993793	acetaminophen 300 mg-codeine 15 mg tablet
993819	acetaminophen 300 mg-codeine 15 mg tablet
993933	acetaminophen 300 mg-codeine 15 mg tablet
993939	acetaminophen 300 mg-codeine 15 mg tablet
1115966	acetaminophen 300 mg-codeine 30 mg tablet
1545976	acetaminophen 300 mg-codeine 30 mg tablet
161	acetaminophen 300 mg-codeine 30 mg tablet
1652891	acetaminophen 300 mg-codeine 30 mg tablet
216834	acetaminophen 300 mg-codeine 30 mg tablet
218221	acetaminophen 300 mg-codeine 30 mg tablet
219198	acetaminophen 300 mg-codeine 30 mg tablet
220586	acetaminophen 300 mg-codeine 30 mg tablet
235412	acetaminophen 300 mg-codeine 30 mg tablet
236131	acetaminophen 300 mg-codeine 30 mg tablet
236236	acetaminophen 300 mg-codeine 30 mg tablet
261685	acetaminophen 300 mg-codeine 30 mg tablet
2670	acetaminophen 300 mg-codeine 30 mg tablet
2672	acetaminophen 300 mg-codeine 30 mg tablet
402563	acetaminophen 300 mg-codeine 30 mg tablet
540435	acetaminophen 300 mg-codeine 30 mg tablet
540518	acetaminophen 300 mg-codeine 30 mg tablet
702747	acetaminophen 300 mg-codeine 30 mg tablet
817579	acetaminophen 300 mg-codeine 30 mg tablet
